Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
4233   4583   0.76784430 0.29349160 -0.0510127 0.52044850 0.006266
4670   8029   1.00000000 0.59096430 NA         NA         NA       
4670   201158 0.23841060 4.08e-0500 -0.1356314 0.08625420 0.088211
4670   4744   1.00000000 0.59096430 NA         NA         NA       
4670   90850  1.00000000 0.59096430 NA         NA         NA       
4670   4583   0.49494600 0.05907400 -0.0941335 0.23493080 0.0451909
8029   201158 0.23841060 4.08e-0500 0.11393040 0.15013910 0.0308865
8029   4744   1.00000000 0.59096430 NA         NA         NA       
8029   90850  1.00000000 0.59096430 NA         NA         NA       
8029   4583   0.49494600 0.05907400 0.06539800 0.40981190 0.010079
201158 4744   4.19444440 0.99999100 NA         NA         NA       
201158 90850  4.19444440 0.99999100 NA         NA         NA       
201158 4583   2.07602340 0.99463100 NA         NA         NA       
4744   90850  1.00000000 0.59096430 NA         NA         NA       
4744   4583   0.49494600 0.05907400 -0.0143677 0.85645000 0.0005844
90850  4583   0.49494600 0.05907400 0.06539800 0.40981190 0.010077
