Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
1756   1956   0.11421900 0.00000000 -0.0364571 0.54133750 0.0048789
1756   6708   0.43642770 0.01744950 0.00440570 0.94117900 6.68e-05
1756   4763   0.35420890 0.00236700 -0.0679507 0.25455050 0.0214336
1756   8216   1.10404410 0.67123800 NA         NA         NA       
1756   146754 0.83993210 0.41764650 NA         NA         NA       
1756   2196   1.10404410 0.67123800 NA         NA         NA       
1756   5243   1.10404410 0.67123800 NA         NA         NA       
1756   126206 0.91329660 0.50000000 NA         NA         NA       
1756   7273   0.12075390 0.00000000 0.05230330 0.38071270 0.008998
1756   200162 1.10404410 0.67123800 NA         NA         NA       
1756   546    0.67486210 0.21538190 -0.0492285 0.40937960 0.0114089
1756   2559   1.00000000 0.58577610 NA         NA         NA       
1756   5314   0.72254900 0.27387960 0.11562470 0.05201360 0.0324971
1756   8857   1.10404410 0.67123800 NA         NA         NA       
1756   1769   0.91329660 0.50000000 NA         NA         NA       
1756   3417   0.77704830 0.34162790 NA         NA         NA       
1756   10060  1.00000000 0.58577610 NA         NA         NA       
1756   5649   0.83993210 0.41764650 NA         NA         NA       
1756   133558 1.00000000 0.58577610 NA         NA         NA       
5290   6262   1.00000000 0.55590870 NA         NA         NA       
5290   348980 2.71515150 0.99879560 NA         NA         NA       
5290   7399   1.96183010 0.98732270 NA         NA         NA       
5290   83872  1.52569660 0.93652590 NA         NA         NA       
5290   6263   1.71810840 0.96938730 NA         NA         NA       
5290   58508  2.71515150 0.99879560 NA         NA         NA       
5290   4036   1.96183010 0.98732270 NA         NA         NA       
5290   5925   1.18496730 0.76642380 NA         NA         NA       
5290   1016   2.71515150 0.99879560 NA         NA         NA       
5290   2312   0.89259960 0.39172970 NA         NA         NA       
5290   338    2.10980390 0.99236620 NA         NA         NA       
5290   84059  2.10980390 0.99236620 NA         NA         NA       
5290   27445  1.13317650 0.71789720 NA         NA         NA       
5290   3792   1.96183010 0.98732270 NA         NA         NA       
5290   5295   0.86127450 0.34118700 NA         NA         NA       
5290   388698 2.99764710 0.99942870 NA         NA         NA       
5290   7062   2.10980390 0.99236620 NA         NA         NA       
5290   80005  2.99764710 0.99942870 NA         NA         NA       
5290   5728   0.25152760 0.00000000 -0.1417473 0.01702980 0.0478935
5290   1293   2.28054300 0.99562880 NA         NA         NA       
5290   9699   2.99764710 0.99942870 NA         NA         NA       
5290   1278   2.71515150 0.99879560 NA         NA         NA       
5290   84467  2.71515150 0.99879560 NA         NA         NA       
5290   23345  2.28054300 0.99562880 NA         NA         NA       
5290   84033  1.83235290 0.97988650 NA         NA         NA       
5290   7157   0.27862750 0.00000000 0.05479110 0.35844130 0.0058334
5290   26047  2.28054300 0.99562880 NA         NA         NA       
5290   10735  2.47973860 0.99763300 NA         NA         NA       
5290   55567  2.71515150 0.99879560 NA         NA         NA       
5290   10512  2.71515150 0.99879560 NA         NA         NA       
5290   94025  0.61285910 0.03752760 0.09051740 0.12873260 0.0146377
5290   1832   2.47973860 0.99763300 NA         NA         NA       
5290   113146 1.61655770 0.95514470 NA         NA         NA       
5290   80205  2.99764710 0.99942870 NA         NA         NA       
5290   140453 1.30267380 0.85010130 NA         NA         NA       
5290   5156   2.71515150 0.99879560 NA         NA         NA       
5290   6335   2.71515150 0.99879560 NA         NA         NA       
5290   1767   2.10980390 0.99236620 NA         NA         NA       
5290   221935 2.47973860 0.99763300 NA         NA         NA       
5290   388697 2.71515150 0.99879560 NA         NA         NA       
5290   1956   0.31012190 3e-0700000 0.01827100 0.75958060 0.0006636
5290   6708   1.18496730 0.76642380 NA         NA         NA       
5290   4763   0.96173090 0.50000000 NA         NA         NA       
5290   8216   2.99764710 0.99942870 NA         NA         NA       
5290   146754 2.28054300 0.99562880 NA         NA         NA       
5290   2196   2.99764710 0.99942870 NA         NA         NA       
5290   5243   2.99764710 0.99942870 NA         NA         NA       
5290   126206 2.47973860 0.99763300 NA         NA         NA       
5290   7273   0.32786520 1.3e-06000 0.02662340 0.65561820 0.0014001
5290   200162 2.99764710 0.99942870 NA         NA         NA       
5290   546    1.83235290 0.97988650 NA         NA         NA       
5290   2559   2.71515150 0.99879560 NA         NA         NA       
5290   5314   1.96183010 0.98732270 NA         NA         NA       
5290   8857   2.99764710 0.99942870 NA         NA         NA       
5290   1769   2.47973860 0.99763300 NA         NA         NA       
5290   3417   2.10980390 0.99236620 NA         NA         NA       
5290   10060  2.71515150 0.99879560 NA         NA         NA       
5290   5649   2.28054300 0.99562880 NA         NA         NA       
5290   133558 2.71515150 0.99879560 NA         NA         NA       
6262   348980 2.71515150 0.99879560 NA         NA         NA       
6262   7399   1.96183010 0.98732270 NA         NA         NA       
6262   83872  1.52569660 0.93652590 NA         NA         NA       
6262   6263   1.71810840 0.96938730 NA         NA         NA       
