Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
2475   23499  2.85490370 0.99944180 NA         NA         NA       
2475   10142  2.85490370 0.99944180 NA         NA         NA       
2475   93035  3.14778330 0.99974470 NA         NA         NA       
2475   131873 2.85490370 0.99944180 NA         NA         NA       
2475   23345  1.82121120 0.98261940 NA         NA         NA       
2475   7428   0.07457270 0.00000000 0.01936910 0.68671550 0.0009669
2475   288    2.61083740 0.99886300 NA         NA         NA       
2475   94025  0.82101810 0.26117230 0.11598090 0.01539370 0.0263107
2475   113146 1.93965520 0.98893990 NA         NA         NA       
2475   29072  0.65830720 0.05682910 -0.0008279 0.98624690 1.8e-06
2475   129446 2.40431980 0.99782570 NA         NA         NA       
2475   4703   3.14778330 0.99974470 NA         NA         NA       
2475   58508  1.93965520 0.98893990 NA         NA         NA       
2475   6708   2.85490370 0.99944180 NA         NA         NA       
2475   64478  2.61083740 0.99886300 NA         NA         NA       
2475   146754 2.61083740 0.99886300 NA         NA         NA       
2475   6597   3.14778330 0.99974470 NA         NA         NA       
2475   7273   0.45425180 0.00040610 0.04708890 0.32660940 0.0051821
2475   7399   2.07389160 0.99325320 NA         NA         NA       
2475   8242   1.16521410 0.75496680 NA         NA         NA       
2475   9947   2.61083740 0.99886300 NA         NA         NA       
2475   5290   3.14778330 0.99974470 NA         NA         NA       
10075  114788 0.82942100 0.41482530 NA         NA         NA       
10075  8085   1.00000000 0.58912590 NA         NA         NA       
10075  55193  0.05465360 0.00000000 0.03326590 0.48842870 0.0045
10075  6261   0.90695690 0.50000000 NA         NA         NA       
10075  83872  0.57856950 0.12017120 0.04828870 0.31442050 0.0080172
10075  6263   1.00000000 0.58912590 NA         NA         NA       
10075  667    0.61619720 0.15978400 0.05158450 0.28249090 0.0089953
10075  4036   0.76381370 0.33674840 NA         NA         NA       
10075  472    0.82942100 0.41482530 NA         NA         NA       
10075  5728   0.65884190 0.20876990 0.05514100 0.25057800 0.0100888
10075  1770   0.70757880 0.26776180 0.05900200 0.21887230 0.0113158
10075  8314   0.44174140 0.02298350 0.10467220 0.02886310 0.0333386
10075  2312   1.00000000 0.58912590 NA         NA         NA       
10075  84059  0.70757880 0.26776180 -0.0279063 0.56114470 0.0039358
10075  27445  0.76381370 0.33674840 NA         NA         NA       
10075  53353  0.82942100 0.41482530 NA         NA         NA       
10075  8289   1.00000000 0.58912590 NA         NA         NA       
10075  23013  0.76381370 0.33674840 NA         NA         NA       
10075  23499  0.90695690 0.50000000 NA         NA         NA       
10075  10142  0.90695690 0.50000000 NA         NA         NA       
10075  93035  1.00000000 0.58912590 NA         NA         NA       
10075  131873 0.90695690 0.50000000 NA         NA         NA       
10075  23345  0.57856950 0.12017120 0.04828870 0.31442050 0.0080172
10075  7428   0.02369050 0.00000000 0.03134570 0.51388580 0.0041134
10075  288    0.82942100 0.41482530 NA         NA         NA       
10075  94025  0.26082420 5.23e-0500 0.00970350 0.83988720 0.0003821
10075  113146 0.61619720 0.15978400 -0.0299041 0.53344070 0.0045156
10075  29072  0.20913360 8e-0700000 -0.0004666 0.99224800 9e-07
10075  129446 0.76381370 0.33674840 NA         NA         NA       
10075  4703   1.00000000 0.58912590 NA         NA         NA       
10075  58508  0.61619720 0.15978400 -0.0299041 0.53344070 0.0045156
10075  6708   0.90695690 0.50000000 NA         NA         NA       
10075  64478  0.82942100 0.41482530 NA         NA         NA       
10075  146754 0.82942100 0.41482530 NA         NA         NA       
10075  6597   1.00000000 0.58912590 NA         NA         NA       
10075  7273   0.14430850 0.00000000 0.02654090 0.58047090 0.0027913
10075  7399   0.65884190 0.20876990 -0.0289201 0.54699990 0.0042251
10075  8242   0.37016970 0.00486680 0.02611740 0.58652840 0.0026015
10075  9947   0.82942100 0.41482530 NA         NA         NA       
10075  5290   1.00000000 0.58912590 NA         NA         NA       
114788 8085   1.20566040 0.74096190 NA         NA         NA       
114788 55193  0.06589370 0.00000000 0.07322200 0.12686550 0.0206799
114788 6261   1.09348200 0.66325160 NA         NA         NA       
114788 83872  0.69755830 0.22528280 -0.0338864 0.48035000 0.0060026
114788 6263   1.20566040 0.74096190 NA         NA         NA       
114788 667    0.74292450 0.28260710 0.04172840 0.38474230 0.0058695
114788 4036   0.92089990 0.50000000 NA         NA         NA       
114788 472    1.00000000 0.58172190 NA         NA         NA       
114788 5728   0.79433960 0.34827630 NA         NA         NA       
114788 1770   0.85309970 0.42132840 NA         NA         NA       
114788 8314   0.53259010 0.05708090 -0.0387810 0.41923450 0.0078402
114788 2312   1.20566040 0.74096190 NA         NA         NA       
114788 84059  0.85309970 0.42132840 NA         NA         NA       
114788 27445  0.92089990 0.50000000 NA         NA         NA       
114788 53353  1.00000000 0.58172190 NA         NA         NA       
114788 8289   1.20566040 0.74096190 NA         NA         NA       
114788 23013  0.92089990 0.50000000 NA         NA         NA       
114788 23499  1.09348200 0.66325160 NA         NA         NA       
114788 10142  1.09348200 0.66325160 NA         NA         NA       
114788 93035  1.20566040 0.74096190 NA         NA         NA       
114788 131873 1.09348200 0.66325160 NA         NA         NA       
114788 23345  0.69755830 0.22528280 0.03853740 0.42216340 0.0050958
114788 7428   0.02856270 0.00000000 0.00077170 0.98718050 2.4e-06
114788 288    1.00000000 0.58172190 NA         NA         NA       
114788 94025  0.31446540 0.00025370 0.00046730 0.99223690 NA        
114788 113146 0.74292450 0.28260710 -0.0328355 0.49407580 0.0056391
114788 29072  0.25214410 5.6e-06000 0.03672110 0.44438140 0.004996
114788 129446 0.92089990 0.50000000 NA         NA         NA       
114788 4703   1.20566040 0.74096190 NA         NA         NA       
114788 58508  0.74292450 0.28260710 -0.0328355 0.49407580 0.0056391
114788 6708   1.09348200 0.66325160 NA         NA         NA       
114788 64478  1.00000000 0.58172190 NA         NA         NA       
114788 146754 1.00000000 0.58172190 NA         NA         NA       
114788 6597   1.20566040 0.74096190 NA         NA         NA       
114788 7273   0.17398700 0.00000000 0.05339100 0.26595300 0.010451
114788 7399   0.79433960 0.34827630 NA         NA         NA       
114788 8242   0.44629900 0.01489930 0.01683720 0.72589870 0.0010851
114788 9947   1.00000000 0.58172190 NA         NA         NA       
114788 5290   1.20566040 0.74096190 NA         NA         NA       
8085   55193  0.05465360 0.00000000 -0.0001533 0.99745330 1e-07
8085   6261   0.90695690 0.50000000 NA         NA         NA       
8085   83872  0.57856950 0.12017120 0.04828870 0.31442050 0.0080172
8085   6263   1.00000000 0.58912590 NA         NA         NA       
8085   667    0.61619720 0.15978400 0.05158450 0.28249090 0.0089953
8085   4036   0.76381370 0.33674840 NA         NA         NA       
8085   472    0.82942100 0.41482530 NA         NA         NA       
8085   5728   0.65884190 0.20876990 -0.0289201 0.54699990 0.0042251
8085   1770   0.70757880 0.26776180 -0.0279063 0.56114470 0.0039358
8085   8314   0.44174140 0.02298350 0.03467670 0.47016610 0.0044165
8085   2312   1.00000000 0.58912590 NA         NA         NA       
8085   84059  0.70757880 0.26776180 -0.0279063 0.56114470 0.0039358
8085   27445  0.76381370 0.33674840 NA         NA         NA       
8085   53353  0.82942100 0.41482530 NA         NA         NA       
8085   8289   1.00000000 0.58912590 NA         NA         NA       
8085   23013  0.76381370 0.33674840 NA         NA         NA       
8085   23499  0.90695690 0.50000000 NA         NA         NA       
8085   10142  0.90695690 0.50000000 NA         NA         NA       
