Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
23195  94025  0.58940400 0.10365730 0.09920060 0.03246260 0.0289535
23195  7157   0.00550440 0.00000000 0.07419180 0.11009660 0.0281952
23195  84059  1.20529800 0.74079120 NA         NA         NA       
23195  79026  0.92103920 0.50000000 NA         NA         NA       
23195  140453 0.58940400 0.10365730 -0.0345046 0.45792380 0.0063045
23195  2804   1.09331730 0.66312010 NA         NA         NA       
23195  5506   1.20529800 0.74079120 NA         NA         NA       
23195  1767   0.79470200 0.34842130 NA         NA         NA       
23195  80122  1.20529800 0.74079120 NA         NA         NA       
23195  284217 1.09331730 0.66312010 NA         NA         NA       
23195  667    0.74337750 0.28281000 -0.0307240 0.50867530 0.0050085
23195  6708   1.20529800 0.74079120 NA         NA         NA       
23195  57674  1.00000000 0.58165000 NA         NA         NA       
23195  4763   0.48675500 0.03004830 -0.0379689 0.41401610 0.0076188
23195  64478  1.20529800 0.74079120 NA         NA         NA       
23195  4622   0.92103920 0.50000000 NA         NA         NA       
23195  675    1.00000000 0.58165000 NA         NA         NA       
23195  55567  0.79470200 0.34842130 NA         NA         NA       
23195  8857   1.09331730 0.66312010 NA         NA         NA       
23195  53353  0.85335860 0.42140360 NA         NA         NA       
23195  7273   0.12748340 0.00000000 -0.0023185 0.96023300 NA        
23195  108    1.09331730 0.66312010 NA         NA         NA       
23195  83872  0.50907000 0.04176020 0.08797570 0.05800400 0.023984
23195  5314   1.00000000 0.58165000 NA         NA         NA       
23195  1769   1.00000000 0.58165000 NA         NA         NA       
23195  388698 1.00000000 0.58165000 NA         NA         NA       
672    50509  1.83221480 0.95878700 NA         NA         NA       
672    5803   1.66198900 0.93504370 NA         NA         NA       
672    10075  1.66198900 0.93504370 NA         NA         NA       
672    6262   0.85139020 0.37198820 NA         NA         NA       
672    23224  1.29721960 0.81566750 NA         NA         NA       
672    114788 0.62847560 0.08645300 0.04293390 0.35561460 0.0057874
672    7399   0.62847560 0.08645300 -0.0507950 0.27435280 0.0190992
672    6261   1.66198900 0.93504370 NA         NA         NA       
672    4619   1.20805370 0.76055780 NA         NA         NA       
672    4036   1.29721960 0.81566750 NA         NA         NA       
672    10178  1.20805370 0.76055780 NA         NA         NA       
672    129684 1.66198900 0.93504370 NA         NA         NA       
672    57451  1.52013420 0.90343300 NA         NA         NA       
672    6710   1.40010330 0.86356840 NA         NA         NA       
672    58508  1.52013420 0.90343300 NA         NA         NA       
672    5925   1.20805370 0.76055780 NA         NA         NA       
