Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
56171  546    0.28952560 0.00011660 -0.0957154 0.13518780 0.0542775
56171  93035  1.09559110 0.66492120 NA         NA         NA       
56171  80309  1.09559110 0.66492120 NA         NA         NA       
56171  140453 0.91911520 0.50000000 NA         NA         NA       
56171  23345  1.09559110 0.66492120 NA         NA         NA       
56171  1769   0.91911520 0.50000000 NA         NA         NA       
56171  4763   1.21030040 0.74312530 NA         NA         NA       
2195   7157   0.09009970 0.00000000 -0.0320335 0.61780190 0.0034814
2195   6262   1.00000000 0.58604590 NA         NA         NA       
2195   6326   1.00000000 0.58604590 NA         NA         NA       
2195   338    1.10470090 0.67172560 NA         NA         NA       
2195   1767   0.83892180 0.41736280 NA         NA         NA       
2195   6261   0.91274930 0.50000000 NA         NA         NA       
2195   4036   1.00000000 0.58604590 NA         NA         NA       
2195   79026  1.10470090 0.67172560 NA         NA         NA       
2195   5925   0.43287040 0.01699100 -0.0714493 0.26525200 0.023621
2195   54768  1.10470090 0.67172560 NA         NA         NA       
2195   64478  0.91274930 0.50000000 NA         NA         NA       
2195   84059  0.91274930 0.50000000 NA         NA         NA       
2195   120114 1.00000000 0.58604590 NA         NA         NA       
2195   27445  0.55915430 0.09319740 0.08452220 0.18731050 0.0183752
2195   53353  0.91274930 0.50000000 NA         NA         NA       
2195   84033  1.00000000 0.58604590 NA         NA         NA       
2195   7273   0.35013260 0.00224830 0.10360080 0.10573330 0.0281979
2195   7399   0.72079770 0.27312120 0.02684580 0.67585240 0.0021217
2195   23499  0.91274930 0.50000000 NA         NA         NA       
2195   546    0.26426430 5.23e-0500 0.01864840 0.77149040 0.0010928
2195   93035  1.00000000 0.58604590 NA         NA         NA       
2195   80309  1.00000000 0.58604590 NA         NA         NA       
2195   140453 0.83892180 0.41736280 NA         NA         NA       
2195   23345  1.00000000 0.58604590 NA         NA         NA       
2195   1769   0.83892180 0.41736280 NA         NA         NA       
2195   4763   1.10470090 0.67172560 NA         NA         NA       
7157   6262   11.0988142 0.99999990 NA         NA         NA       
7157   6326   11.0988142 0.99999990 NA         NA         NA       
7157   338    12.2608696 0.99999990 NA         NA         NA       
7157   1767   9.31103680 0.99999990 NA         NA         NA       
7157   6261   10.1304348 0.99999990 NA         NA         NA       
7157   4036   11.0988142 0.99999990 NA         NA         NA       
7157   79026  12.2608696 0.99999990 NA         NA         NA       
7157   5925   4.80434780 0.99999990 NA         NA         NA       
7157   54768  12.2608696 0.99999990 NA         NA         NA       
7157   64478  10.1304348 0.99999990 NA         NA         NA       
7157   84059  10.1304348 0.99999990 NA         NA         NA       
7157   120114 11.0988142 0.99999990 NA         NA         NA       
7157   27445  6.20594970 0.99999990 NA         NA         NA       
7157   53353  10.1304348 0.99999990 NA         NA         NA       
7157   84033  11.0988142 0.99999990 NA         NA         NA       
7157   7273   3.88605700 0.99999990 NA         NA         NA       
7157   7399   8.00000000 0.99999990 NA         NA         NA       
7157   23499  10.1304348 0.99999990 NA         NA         NA       
7157   546    2.93302000 0.99999980 NA         NA         NA       
7157   93035  11.0988142 0.99999990 NA         NA         NA       
7157   80309  11.0988142 0.99999990 NA         NA         NA       
7157   140453 9.31103680 0.99999990 NA         NA         NA       
7157   23345  11.0988142 0.99999990 NA         NA         NA       
7157   1769   9.31103680 0.99999990 NA         NA         NA       
7157   4763   12.2608696 0.99999990 NA         NA         NA       
